Country,Year,Deaths,GDP_per_Capita,Democracy score
Afghanistan,2020,296447,512.055098005672,2.85
Afghanistan,2021,1778958,355.777826392648,0.32
Afghanistan,2022,162238,352.603733092107,0.32
Albania,2020,88375,5343.0377039956,6.08
Albania,2021,871276,6377.20309553753,6.11
Albania,2022,71537,6810.11404104233,6.41
Algeria,2020,377806,3794.40952448639,3.7700000000000005
Algeria,2021,1563862,4216.2512851303,3.77
Algeria,2022,140177,5023.25293164928,3.6600000000000006
Angola,2020,36818,1450.90511139418,3.66
Angola,2021,368673,1927.47407827687,3.3699999999999997
Angola,2022,40336,2933.48464381415,3.9600000000000004
Argentina,2020,3802826,8500.83793850534,6.95
Argentina,2021,31681182,10650.8604604345,6.809999999999999
Argentina,2022,2592747,13650.6046294524,6.85
Armenia,2020,248551,4505.86774175695,5.35
Armenia,2021,1738064,4972.78320361917,5.49
Armenia,2022,176135,7018.05150434798,5.63
Australia,2020,132944,51868.2475567823,8.96
Australia,2021,427797,60697.2454358579,8.9
Australia,2022,56404,65077.676668821,8.71
Austria,2020,356445,48789.4978498872,8.16
Austria,2021,3768302,53517.8904509612,8.07
Austria,2022,305155,52084.6811953372,8.2
Azerbaijan,2020,161918,4229.91064904503,2.68
Azerbaijan,2021,1890518,5408.04535175023,2.68
Azerbaijan,2022,186453,7770.594223351,2.87
Bahrain,2020,47269,23433.1872362574,2.49
Bahrain,2021,371236,26850.0033915702,2.52
Bahrain,2022,30730,30146.925026365,2.52
Bangladesh,2020,968739,2233.76728192962,5.99
Bangladesh,2021,6492171,2457.96446570157,5.989999999999999
Bangladesh,2022,618737,2687.89906307087,5.99
Belarus,2020,172608,6542.864539843601,2.59
Belarus,2021,1192890,7489.71894713888,2.41
Belarus,2022,126550,7994.648060748891,1.99
Belgium,2020,2931202,45587.968308319,7.51
Belgium,2021,8947146,51863.8311565054,7.510000000000001
Belgium,2022,628132,49942.0906424887,7.64
Benin,2020,7552,1240.73315461172,4.58
Benin,2021,40811,1360.91147388169,4.19
Benin,2022,3557,1304.99479694323,4.28
Bhutan,2020,0,3181.33974675871,5.71
Bhutan,2021,670,3561.22528660505,5.71
Bhutan,2022,66,3704.01839495326,5.54
Bolivia,2020,1235173,3068.81255516456,5.08
Bolivia,2021,5671149,3345.02300209796,4.65
Bolivia,2022,441777,3600.12163502163,4.51
Bosnia and Herzegovina,2020,250835,6095.10423658487,4.84
Bosnia and Herzegovina,2021,3261988,7237.27446250665,5.04
