Country,Year,Deaths,GDP_per_Capita,Democracy score,Population_2020,Deaths_per_Population
Afghanistan,2020,296447,512.055098005672,2.85,38972230.0,0.007606621432748395
Afghanistan,2021,1778958,355.777826392648,0.32,38972230.0,0.04564681056229012
Afghanistan,2022,162238,352.603733092107,0.32,38972230.0,0.0041629129254343415
Albania,2020,88375,5343.0377039956,6.08,2837849.0,0.031141544176592907
Albania,2021,871276,6377.20309553753,6.11,2837849.0,0.30701985905522106
Albania,2022,71537,6810.11404104233,6.41,2837849.0,0.025208177038313174
Algeria,2020,377806,3794.40952448639,3.7700000000000005,43451666.0,0.008694856487205808
Algeria,2021,1563862,4216.2512851303,3.77,43451666.0,0.035990840949573714
Algeria,2022,140177,5023.25293164928,3.6600000000000006,43451666.0,0.00322604431323761
Angola,2020,36818,1450.90511139418,3.66,33428486.0,0.0011013959770717705
Angola,2021,368673,1927.47407827687,3.3699999999999997,33428486.0,0.011028707671654647
Angola,2022,40336,2933.48464381415,3.9600000000000004,33428486.0,0.0012066355622566932
Argentina,2020,3802826,8500.83793850534,6.95,45376763.0,0.08380558128397127
Argentina,2021,31681182,10650.8604604345,6.809999999999999,45376763.0,0.6981807406579442
Argentina,2022,2592747,13650.6046294524,6.85,45376763.0,0.05713820970438107
Armenia,2020,248551,4505.86774175695,5.35,2805608.0,0.08859077960998116
Armenia,2021,1738064,4972.78320361917,5.49,2805608.0,0.6194963801072708
Armenia,2022,176135,7018.05150434798,5.63,2805608.0,0.06277961853544757
Australia,2020,132944,51868.2475567823,8.96,25649248.0,0.00518315390767012
Australia,2021,427797,60697.2454358579,8.9,25649248.0,0.01667873459681937
Australia,2022,56404,65077.676668821,8.71,25649248.0,0.0021990508259735336
Austria,2020,356445,48789.4978498872,8.16,8916864.0,0.039974255523017956
Austria,2021,3768302,53517.8904509612,8.07,8916864.0,0.42260395583021115
Austria,2022,305155,52084.6811953372,8.2,8916864.0,0.0342222332873979
Azerbaijan,2020,161918,4229.91064904503,2.68,10093121.0,0.016042411460241088
Azerbaijan,2021,1890518,5408.04535175023,2.68,10093121.0,0.18730757314808769
Azerbaijan,2022,186453,7770.594223351,2.87,10093121.0,0.018473275015726057
Bahrain,2020,47269,23433.1872362574,2.49,1477469.0,0.031993226253816495
Bahrain,2021,371236,26850.0033915702,2.52,1477469.0,0.2512648319524809
Bahrain,2022,30730,30146.925026365,2.52,1477469.0,0.020799082755712642
Bangladesh,2020,968739,2233.76728192962,5.99,167420951.0,0.00578624714657128
Bangladesh,2021,6492171,2457.96446570157,5.989999999999999,167420951.0,0.038777530298463064
Bangladesh,2022,618737,2687.89906307087,5.99,167420951.0,0.0036956963647877023
Belarus,2020,172608,6542.864539843601,2.59,9379952.0,0.01840179992392285
Belarus,2021,1192890,7489.71894713888,2.41,9379952.0,0.1271744247731758
Belarus,2022,126550,7994.648060748891,1.99,9379952.0,0.013491540255216658
Belgium,2020,2931202,45587.968308319,7.51,11538604.0,0.25403437018897607
Belgium,2021,8947146,51863.8311565054,7.510000000000001,11538604.0,0.7754097462743327
Belgium,2022,628132,49942.0906424887,7.64,11538604.0,0.05443743454580814
Benin,2020,7552,1240.73315461172,4.58,12643123.0,0.0005973207727236379
Benin,2021,40811,1360.91147388169,4.19,12643123.0,0.0032279208230434836
Benin,2022,3557,1304.99479694323,4.28,12643123.0,0.00028133871670788933
Bhutan,2020,0,3181.33974675871,5.71,772506.0,0.0
Bhutan,2021,670,3561.22528660505,5.71,772506.0,0.0008673071794911625
Bhutan,2022,66,3704.01839495326,5.54,772506.0,8.54362296215175e-05
Bolivia,2020,1235173,3068.81255516456,5.08,11936162.0,0.10348158813528167
Bolivia,2021,5671149,3345.02300209796,4.65,11936162.0,0.4751233269119504
Bolivia,2022,441777,3600.12163502163,4.51,11936162.0,0.037011645786979096
Bosnia and Herzegovina,2020,250835,6095.10423658487,4.84,3318407.0,0.07558897989306315
Bosnia and Herzegovina,2021,3261988,7237.27446250665,5.04,3318407.0,0.9829981674942224
Bosnia and Herzegovina,2022,301181,7587.58817346075,5.0,3318407.0,0.09076071741651943
Botswana,2020,3190,5875.07043504191,7.62,2546402.0,0.0012527479950141416
Botswana,2021,488116,7244.158547556659,7.73,2546402.0,0.19168850794179396
Botswana,2022,54925,7726.11099664689,7.73,2546402.0,0.021569650039545994
Brazil,2020,27108921,6923.6999117682,6.92,213196304.0,0.12715474185706332
